Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Portsmouth,Fratton Park,Portsmouth,21100,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,21100,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Queens Park Rangers,Loftus Road,White City,18439,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,18439,White City,"Loftus Road, White City, England",Loftus Road (Queens Park Rangers) — White City
Reading,Elm Park,Reading,14800,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,14800,Reading,"Elm Park, Reading, England",Elm Park (Reading) — Reading
Sheffield United,Bramall Lane,Sheffield,29034,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,29034,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Stockport County,Edgeley Park,Stockport,10841,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,10841,Stockport,"Edgeley Park, Stockport, England",Edgeley Park (Stockport County) — Stockport
Stoke City,Britannia Stadium,Stoke-on-Trent,27743,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,27743,Stoke-on-Trent,"Britannia Stadium, Stoke-on-Trent, England",Britannia Stadium (Stoke City) — Stoke-on-Trent
Sunderland,Stadium of Light,Sunderland,42000,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,42000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Swindon Town,County Ground,Swindon,15728,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,15728,Swindon,"County Ground, Swindon, England",County Ground (Swindon Town) — Swindon
Tranmere Rovers,Prenton Park,Birkenhead,16567,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,16567,Birkenhead,"Prenton Park, Birkenhead, England",Prenton Park (Tranmere Rovers) — Birkenhead
West Bromwich Albion,The Hawthorns,West Bromwich,22986,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,22986,West Bromwich,"The Hawthorns, West Bromwich, England",The Hawthorns (West Bromwich Albion) — West Bromwich
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,28525,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,28525,Wolverhampton,"Molineux Stadium, Wolverhampton, England",Molineux Stadium (Wolverhampton Wanderers) — Wolverhampton
Bradford City,Bradford & Bingley Stadium,Bradford,25136,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,25136,Bradford,"Bradford & Bingley Stadium, Bradford, England",Bradford & Bingley Stadium (Bradford City) — Bradford
Burnley,Turf Moor,Burnley,22546,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,22546,Burnley,"Turf Moor, Burnley, England",Turf Moor (Burnley) — Burnley
Brighton & Hove Albion,Withdean Stadium,Brighton,8850,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,8850,Brighton,"Withdean Stadium, Brighton, England",Withdean Stadium (Brighton & Hove Albion) — Brighton
Coventry City,Highfield Road,Coventry,23489,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Crystal Palace,Selhurst Park,London,26309,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,26309,London,"Selhurst Park, London, England",Selhurst Park (Crystal Palace) — London
Derby County,Pride Park,Derby,33597,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,33597,Derby,"Pride Park, Derby, England",Pride Park (Derby County) — Derby
Gillingham,Priestfield Stadium,Gillingham,11582,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Grimsby Town,Blundell Park,Cleethorpes,10033,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,10033,Cleethorpes,"Blundell Park, Cleethorpes, England",Blundell Park (Grimsby Town) — Cleethorpes
Ipswich Town,Portman Road,Ipswich,30311,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,30311,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Leicester City,Walkers Stadium,Leicester,32500,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,32500,Leicester,"Walkers Stadium, Leicester, England",Walkers Stadium (Leicester City) — Leicester
Millwall,The New Den,London,20146,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,20146,London,"The New Den, London, England",The New Den (Millwall) — London
Nottingham Forest,City Ground,Nottingham,30576,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,30576,Nottingham,"City Ground, Nottingham, England",City Ground (Nottingham Forest) — Nottingham
Norwich City,Carrow Road,Norwich,26018,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,26018,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Portsmouth,Fratton Park,Portsmouth,20224,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,20224,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Preston North End,Deepdale,Preston,23408,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,23408,Preston,"Deepdale, Preston, England",Deepdale (Preston North End) — Preston
Reading,Madejski Stadium,Reading,24161,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,24161,Reading,"Madejski Stadium, Reading, England",Madejski Stadium (Reading) — Reading
Rotherham United,Millmoor,Rotherham,8300,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,8300,Rotherham,"Millmoor, Rotherham, England",Millmoor (Rotherham United) — Rotherham
Sheffield United,Bramall Lane,Sheffield,32702,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,32702,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Sheffield Wednesday,Hillsborough,Sheffield,39812,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,39812,Sheffield,"Hillsborough, Sheffield, England",Hillsborough (Sheffield Wednesday) — Sheffield
Stoke City,Britannia Stadium,Stoke,27740,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,27740,Stoke,"Britannia Stadium, Stoke, England",Britannia Stadium (Stoke City) — Stoke
Walsall,Bescot Stadium,Walsall,11300,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,11300,Walsall,"Bescot Stadium, Walsall, England",Bescot Stadium (Walsall) — Walsall
Watford,Vicarage Road,Watford,17504,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,17504,Watford,"Vicarage Road, Watford, England",Vicarage Road (Watford) — Watford
Wimbledon,Selhurst Park1,London,26309,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,26309,London,"Selhurst Park1, London, England",Selhurst Park1 (Wimbledon) — London
Wolverhampton Wanderers,Molineux,Wolverhampton,27828,2002–03,2,England,https://en.wikipedia.org/wiki/2002–03_Football_League_First_Division,27828,Wolverhampton,"Molineux, Wolverhampton, England",Molineux (Wolverhampton Wanderers) — Wolverhampton
Bradford City,Valley Parade,Bradford,25136,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Burnley,Turf Moor,Burnley,22546,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,22546,Burnley,"Turf Moor, Burnley, England",Turf Moor (Burnley) — Burnley
Cardiff City,Ninian Park,Cardiff,21508,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,21508,Cardiff,"Ninian Park, Cardiff, England",Ninian Park (Cardiff City) — Cardiff
Coventry City,Highfield Road,Coventry,23489,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Crewe Alexandra,Alexandra Stadium,Crewe,10153,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,10153,Crewe,"Alexandra Stadium, Crewe, England",Alexandra Stadium (Crewe Alexandra) — Crewe
Crystal Palace,Selhurst Park,London,26309,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,26309,London,"Selhurst Park, London, England",Selhurst Park (Crystal Palace) — London
Derby County,Pride Park Stadium,Derby,33597,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,33597,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Gillingham,Priestfield Stadium,Gillingham,11582,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Ipswich Town,Portman Road,Ipswich,30311,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,30311,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Millwall,The Den,London,20146,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,20146,London,"The Den, London, England",The Den (Millwall) — London
Nottingham Forest,City Ground,Nottingham,30576,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,30576,Nottingham,"City Ground, Nottingham, England",City Ground (Nottingham Forest) — Nottingham
Norwich City,Carrow Road,Norwich,26018,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,26018,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Preston North End,Deepdale,Preston,23408,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,23408,Preston,"Deepdale, Preston, England",Deepdale (Preston North End) — Preston
Reading,Madjeski Stadium,Reading,24161,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,24161,Reading,"Madjeski Stadium, Reading, England",Madjeski Stadium (Reading) — Reading
Rotherham United,Millmoor,Rotherham,8300,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,8300,Rotherham,"Millmoor, Rotherham, England",Millmoor (Rotherham United) — Rotherham
Sheffield United,Bramall Lane,Sheffield,32702,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,32702,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Stoke City,Britannia Stadium,Stoke,27740,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,27740,Stoke,"Britannia Stadium, Stoke, England",Britannia Stadium (Stoke City) — Stoke
Sunderland,Stadium of Light,Sunderland,49000,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,49000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Walsall,Bescot Stadium,Walsall,11300,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,11300,Walsall,"Bescot Stadium, Walsall, England",Bescot Stadium (Walsall) — Walsall
Watford,Vicarage Road,Watford,17504,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,17504,Watford,"Vicarage Road, Watford, England",Vicarage Road (Watford) — Watford
West Bromwich Albion,The Hawthorns,West Bromwich,26484,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,26484,West Bromwich,"The Hawthorns, West Bromwich, England",The Hawthorns (West Bromwich Albion) — West Bromwich
West Ham United,Boleyn Ground,London,35303,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,35303,London,"Boleyn Ground, London, England",Boleyn Ground (West Ham United) — London
Wigan Athletic,JJB Stadium,Wigan,25133,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,25133,Wigan,"JJB Stadium, Wigan, England",JJB Stadium (Wigan Athletic) — Wigan
Wimbledon,National Hockey Stadium,Milton Keynes,9000,2003–04,2,England,https://en.wikipedia.org/wiki/2003–04_Football_League_First_Division,9000,Milton Keynes,"National Hockey Stadium, Milton Keynes, England",National Hockey Stadium (Wimbledon) — Milton Keynes
Sunderland,Stadium of Light,,49000,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,49000,,"Stadium of Light, England",Stadium of Light (Sunderland)
Leeds United,Elland Road,,37697,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,37697,,"Elland Road, England",Elland Road (Leeds United)
West Ham United,Boleyn Ground,,35146,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,35146,,"Boleyn Ground, England",Boleyn Ground (West Ham United)
Derby County,Pride Park Stadium,,33597,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,33597,,"Pride Park Stadium, England",Pride Park Stadium (Derby County)
Sheffield United,Bramall Lane,,32609,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,32609,,"Bramall Lane, England",Bramall Lane (Sheffield United)
Leicester City,Walkers Stadium,,32500,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,32500,,"Walkers Stadium, England",Walkers Stadium (Leicester City)
Nottingham Forest,City Ground,,30602,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,30602,,"City Ground, England",City Ground (Nottingham Forest)
Ipswich Town,Portman Road,,30311,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,30311,,"Portman Road, England",Portman Road (Ipswich Town)
Wolverhampton Wanderers,Molineux Stadium,,28525,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,28525,,"Molineux Stadium, England",Molineux Stadium (Wolverhampton Wanderers)
Stoke City,Britannia Stadium,,28000,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,28000,,"Britannia Stadium, England",Britannia Stadium (Stoke City)
Wigan Athletic,JJB Stadium,,25138,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,25138,,"JJB Stadium, England",JJB Stadium (Wigan Athletic)
Preston North End,Deepdale,,24500,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,24500,,"Deepdale, England",Deepdale (Preston North End)
Reading,Madejski Stadium,,24161,2004–05,2,England,https://en.wikipedia.org/wiki/2004–05_Football_League_Championship,24161,,"Madejski Stadium, England",Madejski Stadium (Reading)
