Player,Season,Age,Nation,Team,Comp,Pos,PKatt,PK,PKm,Conversion%,conversion_rate
Matheus Pereira,2020-2021,24.0,br BRA,West Brom,EPL,"MF,FW",4.0,4.0,0.0,100.0,1.0
Martin Petrov,2011-2012,32.0,bg BUL,Bolton,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Mark Noble,2018-2019,31.0,eng ENG,West Ham,EPL,MF,4.0,4.0,0.0,100.0,1.0
Mark Noble,2010-2011,23.0,eng ENG,West Ham,EPL,MF,4.0,4.0,0.0,100.0,1.0
Jimmy Floyd Hasselbaink,2000-2001,28.0,nl NED,Chelsea,EPL,FW,4.0,4.0,0.0,100.0,1.0
Jay-Jay Okocha,2004-2005,30.0,ng NGA,Bolton,EPL,MF,4.0,4.0,0.0,100.0,1.0
James Ward-Prowse,2021-2022,26.0,eng ENG,Southampton,EPL,MF,4.0,4.0,0.0,100.0,1.0
Ian Wright,1993-1994,29.0,eng ENG,Arsenal,EPL,FW,4.0,4.0,0.0,100.0,1.0
Ian Wright,1996-1997,32.0,eng ENG,Arsenal,EPL,FW,4.0,4.0,0.0,100.0,1.0
Harry Kane,2018-2019,25.0,eng ENG,Tottenham,EPL,FW,4.0,4.0,0.0,100.0,1.0
Harry Kane,2020-2021,27.0,eng ENG,Tottenham,EPL,FW,4.0,4.0,0.0,100.0,1.0
Harry Kane,2021-2022,28.0,eng ENG,Tottenham,EPL,FW,4.0,4.0,0.0,100.0,1.0
Glenn Murray,2018-2019,34.0,eng ENG,Brighton,EPL,FW,4.0,4.0,0.0,100.0,1.0
Gary McAllister,1999-2000,34.0,sct SCO,Coventry City,EPL,MF,4.0,4.0,0.0,100.0,1.0
Gareth Barry,2008-2009,27.0,eng ENG,Aston Villa,EPL,MF,4.0,4.0,0.0,100.0,1.0
Frank Lampard,2007-2008,29.0,eng ENG,Chelsea,EPL,MF,4.0,4.0,0.0,100.0,1.0
Frank Lampard,2005-2006,27.0,eng ENG,Chelsea,EPL,MF,4.0,4.0,0.0,100.0,1.0
Eric Cantona,1995-1996,29.0,fr FRA,Manchester Utd,EPL,FW,4.0,4.0,0.0,100.0,1.0
Elano,2008-2009,27.0,br BRA,Manchester City,EPL,MF,4.0,4.0,0.0,100.0,1.0
Eden Hazard,2013-2014,22.0,be BEL,Chelsea,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Eden Hazard,2018-2019,27.0,be BEL,Chelsea,EPL,FW,4.0,4.0,0.0,100.0,1.0
Douglas Luiz,2023-2024,25.0,br BRA,Aston Villa,EPL,MF,4.0,4.0,0.0,100.0,1.0
Dimitar Berbatov,2012-2013,31.0,bg BUL,Fulham,EPL,FW,4.0,4.0,0.0,100.0,1.0
David Unsworth,2002-2003,28.0,eng ENG,Everton,EPL,DF,4.0,4.0,0.0,100.0,1.0
David Hirst,1995-1996,27.0,eng ENG,Sheffield Weds,EPL,FW,4.0,4.0,0.0,100.0,1.0
Cristiano Ronaldo,2008-2009,23.0,pt POR,Manchester Utd,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Craig Gardner,2012-2013,25.0,eng ENG,Sunderland,EPL,MF,4.0,4.0,0.0,100.0,1.0
Callum Wilson,2020-2021,28.0,eng ENG,Newcastle Utd,EPL,FW,4.0,4.0,0.0,100.0,1.0
Bruno Fernandes,2019-2020,24.0,pt POR,Manchester Utd,EPL,MF,4.0,4.0,0.0,100.0,1.0
Anwar El Ghazi,2020-2021,25.0,nl NED,Aston Villa,EPL,FW,4.0,4.0,0.0,100.0,1.0
Amr Zaki,2008-2009,25.0,eg EGY,Wigan Athletic,EPL,FW,4.0,4.0,0.0,100.0,1.0
Alan Shearer,2005-2006,34.0,eng ENG,Newcastle Utd,EPL,FW,4.0,4.0,0.0,100.0,1.0
Arturo Vidal,2013-2014,26.0,cl CHI,Juventus,CL,,4.0,4.0,0.0,100.0,1.0
Thomas Müller,2014-2015,24.0,de GER,Bayern Munich,CL,,4.0,4.0,0.0,100.0,1.0
Robert Lewandowski,2016-2017,27.0,pl POL,Bayern Munich,CL,,4.0,4.0,0.0,100.0,1.0
Cristiano Ronaldo,2017-2018,32.0,pt POR,Real Madrid,CL,,4.0,4.0,0.0,100.0,1.0
Harry Kane,2024-2025,31.0,eng�ENG,Bayern Munich,CL,,4.0,4.0,0.0,100.0,1.0
Fernando Torres,2006-2007,22.0,es ESP,Atlético Madrid,La Liga,FW,8.0,4.0,4.0,50.0,0.5
Ivan Rakitić,2013-2014,25.0,hr CRO,Sevilla,La Liga,MF,7.0,4.0,3.0,57.14,0.5714285714285714
Juan Román Riquelme,2005-2006,27.0,ar ARG,Villarreal,La Liga,MF,6.0,4.0,2.0,66.67,0.6666666666666666
Raúl Tamudo,2001-2002,23.0,es ESP,Espanyol,La Liga,FW,6.0,4.0,2.0,66.67,0.6666666666666666
Jimmy Floyd Hasselbaink,1999-2000,27.0,nl NED,Atlético Madrid,La Liga,FW,6.0,4.0,2.0,66.67,0.6666666666666666
Myrto Uzuni,2023-2024,28.0,al ALB,Granada,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Samuel Eto'o,2004-2005,23.0,cm CMR,Barcelona,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Bruno Soriano,2016-2017,32.0,es ESP,Villarreal,La Liga,MF,5.0,4.0,1.0,80.0,0.8
Vedat Muriqi,2022-2023,28.0,xk KVX,Mallorca,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Diego Milito,2006-2007,27.0,ar ARG,Zaragoza,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Fernando Baiano,2006-2007,27.0,br BRA,Celta Vigo,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Kévin Gameiro,2015-2016,28.0,fr FRA,Sevilla,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Víctor Pérez,2012-2013,24.0,es ESP,Valladolid,La Liga,MF,5.0,4.0,1.0,80.0,0.8
Álvaro Negredo,2010-2011,24.0,es ESP,Sevilla,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Álvaro Negredo,2012-2013,26.0,es ESP,Sevilla,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Iago Aspas,2024-2025,36.0,es ESP,Celta Vigo,La Liga,"FW,MF",5.0,4.0,1.0,80.0,0.8
Vasilios Tsiartas,1999-2000,26.0,gr GRE,Sevilla,La Liga,MF,5.0,4.0,1.0,80.0,0.8
Fernando Llorente,2009-2010,24.0,es ESP,Athletic Club,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Mikel Oyarzabal,2021-2022,24.0,es ESP,Real Sociedad,La Liga,"FW,MF",5.0,4.0,1.0,80.0,0.8
Memphis,2021-2022,27.0,nl NED,Barcelona,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Lucas Ocampos,2020-2021,26.0,ar ARG,Sevilla,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Isco,2024-2025,32.0,es ESP,Betis,La Liga,MF,5.0,4.0,1.0,80.0,0.8
Fernando Torres,2004-2005,20.0,es ESP,Atlético Madrid,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Raúl Tamudo,2002-2003,24.0,es ESP,Espanyol,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Roberto Peragón,2001-2002,23.0,es ESP,Rayo Vallecano,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Fabián Orellana,2019-2020,33.0,cl CHI,Eibar,La Liga,"MF,FW",5.0,4.0,1.0,80.0,0.8
Lionel Messi,2018-2019,31.0,ar ARG,Barcelona,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Roberto Torres,2020-2021,31.0,es ESP,Osasuna,La Liga,"MF,FW",5.0,4.0,1.0,80.0,0.8
Cristiano Ronaldo,2009-2010,24.0,pt POR,Real Madrid,La Liga,"FW,MF",5.0,4.0,1.0,80.0,0.8
Diego Tristán,2005-2006,29.0,es ESP,La Coruña,La Liga,FW,5.0,4.0,1.0,80.0,0.8
Dani Raba,2024-2025,28.0,es ESP,Leganés,La Liga,"MF,FW",5.0,4.0,1.0,80.0,0.8
Jonathan Viera,2015-2016,25.0,es ESP,Las Palmas,La Liga,"FW,MF",5.0,4.0,1.0,80.0,0.8
Víctor,2001-2002,27.0,es ESP,Villarreal,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Jaime Mata,2018-2019,29.0,es ESP,Getafe,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Apoño,2011-2012,27.0,es ESP,2 Teams,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Juan Román Riquelme,2003-2004,25.0,ar ARG,Villarreal,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Roger Martí,2019-2020,28.0,es ESP,Levante,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Nacho González,2001-2002,29.0,ar ARG,Las Palmas,La Liga,GK,4.0,4.0,0.0,100.0,1.0
José Antonio Reyes,2002-2003,18.0,es ESP,Sevilla,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Cristhian Stuani,2011-2012,24.0,uy URU,Racing Sant,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Javi Puado,2024-2025,26.0,es ESP,Espanyol,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Fernando,2001-2002,22.0,es ESP,Valladolid,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Guilherme Siqueira,2011-2012,25.0,br BRA,Granada,La Liga,"DF,MF",4.0,4.0,0.0,100.0,1.0
Mohamed Tchité,2009-2010,25.0,bi BDI,Racing Sant,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Diego Castro,2012-2013,30.0,es ESP,Getafe,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Diego Castro,2009-2010,27.0,es ESP,Sporting Gijón,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Jorge Larena,2001-2002,19.0,es ESP,Las Palmas,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Francisco Puñal,2003-2004,27.0,es ESP,Osasuna,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Lucas Lobos,2005-2006,23.0,mx MEX,Cádiz,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Joan Verdú,2012-2013,29.0,es ESP,Espanyol,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Constantin Gâlcă,1999-2000,27.0,ro ROU,Espanyol,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Álvaro Negredo,2008-2009,22.0,es ESP,Almería,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Borja Mayoral,2023-2024,26.0,es ESP,Getafe,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Nicolás Olivera,2001-2002,23.0,uy URU,Sevilla,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Luis García,2010-2011,29.0,es ESP,Espanyol,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Luis García,2007-2008,26.0,es ESP,Espanyol,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Luis García,2003-2004,22.0,es ESP,Real Murcia,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Salva Sevilla,2021-2022,37.0,es ESP,Mallorca,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Mikel Oyarzabal,2019-2020,22.0,es ESP,Real Sociedad,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Robert Lewandowski,2023-2024,34.0,pl POL,Barcelona,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Pizzi,2012-2013,22.0,pt POR,La Coruña,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Luis Suárez,2018-2019,31.0,uy URU,Barcelona,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Rubén Suárez,2011-2012,32.0,es ESP,Levante,La Liga,MF,4.0,4.0,0.0,100.0,1.0
David Villa,2003-2004,21.0,es ESP,Zaragoza,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Javi Guerrero,2002-2003,25.0,es ESP,Racing Sant,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Gaizka Mendieta,2002-2003,28.0,es ESP,Barcelona,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Youssef El-Arabi,2014-2015,27.0,ma MAR,Granada,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Sergio,2007-2008,30.0,es ESP,La Coruña,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Fabián Orellana,2020-2021,34.0,cl CHI,Valladolid,La Liga,"MF,FW",4.0,4.0,0.0,100.0,1.0
Carlos Llorens,2001-2002,31.0,es ESP,Alavés,La Liga,DF,4.0,4.0,0.0,100.0,1.0
Xabi Prieto,2010-2011,26.0,es ESP,Real Sociedad,La Liga,MF,4.0,4.0,0.0,100.0,1.0
Lionel Messi,2012-2013,25.0,ar ARG,Barcelona,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Lionel Messi,2010-2011,23.0,ar ARG,Barcelona,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Lionel Messi,2007-2008,20.0,ar ARG,Barcelona,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Aitor Larrazábal,2000-2001,29.0,es ESP,Athletic Club,La Liga,DF,4.0,4.0,0.0,100.0,1.0
Aitor Larrazábal,1999-2000,28.0,es ESP,Athletic Club,La Liga,DF,4.0,4.0,0.0,100.0,1.0
Antoine Griezmann,2023-2024,32.0,fr FRA,Atlético Madrid,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Carlos Vela,2012-2013,23.0,mx MEX,Real Sociedad,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Jonathan Viera,2016-2017,26.0,es ESP,Las Palmas,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Luís Figo,2001-2002,28.0,pt POR,Real Madrid,La Liga,"FW,MF",4.0,4.0,0.0,100.0,1.0
Giuseppe Rossi,2010-2011,23.0,it ITA,Villarreal,La Liga,FW,4.0,4.0,0.0,100.0,1.0
Wayne Rooney,2017-2018,31.0,eng ENG,Everton,EPL,"MF,FW",6.0,3.0,3.0,50.0,0.5
Troy Deeney,2017-2018,29.0,eng ENG,Watford,EPL,FW,5.0,3.0,2.0,60.0,0.6
Riyad Mahrez,2016-2017,25.0,dz ALG,Leicester City,EPL,"FW,MF",5.0,3.0,2.0,60.0,0.6
Jonathan Walters,2012-2013,28.0,ie IRL,Stoke City,EPL,"FW,MF",5.0,3.0,2.0,60.0,0.6
Ian Wright,1995-1996,31.0,eng ENG,Arsenal,EPL,FW,5.0,3.0,2.0,60.0,0.6
Charlie Austin,2014-2015,25.0,eng ENG,QPR,EPL,FW,5.0,3.0,2.0,60.0,0.6
Yohan Cabaye,2015-2016,29.0,fr FRA,Crystal Palace,EPL,MF,4.0,3.0,1.0,75.0,0.75
Wayne Rooney,2010-2011,24.0,eng ENG,Manchester Utd,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
Robin van Persie,2012-2013,28.0,nl NED,Manchester Utd,EPL,FW,4.0,3.0,1.0,75.0,0.75
Robbie Keane,2007-2008,27.0,ie IRL,Tottenham,EPL,FW,4.0,3.0,1.0,75.0,0.75
Robbie Keane,2005-2006,25.0,ie IRL,Tottenham,EPL,FW,4.0,3.0,1.0,75.0,0.75
Robbie Blake,2000-2001,24.0,eng ENG,Bradford City,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
Peter Beardsley,1994-1995,33.0,eng ENG,Newcastle Utd,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
Pascal Groß,2020-2021,29.0,de GER,Brighton,EPL,"MF,DF",4.0,3.0,1.0,75.0,0.75
Paolo Di Canio,2003-2004,35.0,it ITA,Charlton Ath,EPL,FW,4.0,3.0,1.0,75.0,0.75
Nigel Clough,1992-1993,26.0,eng ENG,Nott'ham Forest,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
Neal Maupay,2020-2021,23.0,fr FRA,Brighton,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
Michael Ball,1998-1999,18.0,eng ENG,Everton,EPL,DF,4.0,3.0,1.0,75.0,0.75
Keith Curle,1992-1993,28.0,eng ENG,Manchester City,EPL,DF,4.0,3.0,1.0,75.0,0.75
Jason Euell,2002-2003,25.0,jm JAM,Charlton Ath,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
James Ward-Prowse,2020-2021,25.0,eng ENG,Southampton,EPL,MF,4.0,3.0,1.0,75.0,0.75
James Milner,2009-2010,23.0,eng ENG,Aston Villa,EPL,"DF,MF",4.0,3.0,1.0,75.0,0.75
Ian Wright,1994-1995,30.0,eng ENG,Arsenal,EPL,FW,4.0,3.0,1.0,75.0,0.75
Hámilton Ricard,1999-2000,25.0,co COL,Middlesbrough,EPL,FW,4.0,3.0,1.0,75.0,0.75
Gylfi Sigurðsson,2020-2021,30.0,is ISL,Everton,EPL,"MF,FW",4.0,3.0,1.0,75.0,0.75
Gary McAllister,1994-1995,29.0,sct SCO,Leeds United,EPL,MF,4.0,3.0,1.0,75.0,0.75
Frank Leboeuf,1998-1999,30.0,fr FRA,Chelsea,EPL,DF,4.0,3.0,1.0,75.0,0.75
Frank Leboeuf,1996-1997,28.0,fr FRA,Chelsea,EPL,DF,4.0,3.0,1.0,75.0,0.75
Frank Lampard,2011-2012,33.0,eng ENG,Chelsea,EPL,MF,4.0,3.0,1.0,75.0,0.75
Frank Lampard,2006-2007,28.0,eng ENG,Chelsea,EPL,MF,4.0,3.0,1.0,75.0,0.75
Fabrizio Ravanelli,1996-1997,27.0,it ITA,Middlesbrough,EPL,FW,4.0,3.0,1.0,75.0,0.75
Emmanuel Adebayor,2011-2012,27.0,tg TOG,Tottenham,EPL,FW,4.0,3.0,1.0,75.0,0.75
Eden Hazard,2014-2015,23.0,be BEL,Chelsea,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
David Unsworth,2000-2001,26.0,eng ENG,Everton,EPL,DF,4.0,3.0,1.0,75.0,0.75
Cristiano Ronaldo,2006-2007,21.0,pt POR,Manchester Utd,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
Cole Palmer,2024-2025,22.0,eng ENG,Chelsea,EPL,MF,4.0,3.0,1.0,75.0,0.75
Clive Wilson,1993-1994,31.0,eng ENG,QPR,EPL,DF,4.0,3.0,1.0,75.0,0.75
Cesc Fàbregas,2009-2010,22.0,es ESP,Arsenal,EPL,"FW,MF",4.0,3.0,1.0,75.0,0.75
Aljoša Asanović,1996-1997,30.0,hr CRO,Derby County,EPL,MF,4.0,3.0,1.0,75.0,0.75
Alan Shearer,1996-1997,25.0,eng ENG,Newcastle Utd,EPL,FW,4.0,3.0,1.0,75.0,0.75
Alan Shearer,1993-1994,22.0,eng ENG,Blackburn,EPL,FW,4.0,3.0,1.0,75.0,0.75
Serhiy Rebrov,1999-2000,25.0,ua UKR,Dynamo Kyiv,CL,,4.0,3.0,1.0,75.0,0.75
Rivaldo,1999-2000,27.0,br BRA,Barcelona,CL,,4.0,3.0,1.0,75.0,0.75
Andriy Shevchenko,2000-2001,23.0,ua UKR,Milan,CL,,4.0,3.0,1.0,75.0,0.75
Ruud van Nistelrooy,2001-2002,25.0,nl NED,Manchester Utd,CL,,4.0,3.0,1.0,75.0,0.75
Luís Figo,2004-2005,31.0,pt POR,Real Madrid,CL,,4.0,3.0,1.0,75.0,0.75
Cristiano Ronaldo,2014-2015,29.0,pt POR,Real Madrid,CL,,4.0,3.0,1.0,75.0,0.75
Robert Lewandowski,2021-2022,32.0,pl POL,Bayern Munich,CL,,4.0,3.0,1.0,75.0,0.75
Yakubu Aiyegbeni,2005-2006,22.0,ng NGA,Middlesbrough,EPL,FW,3.0,3.0,0.0,100.0,1.0
Wayne Rooney,2013-2014,27.0,eng ENG,Manchester Utd,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Troy Deeney,2016-2017,28.0,eng ENG,Watford,EPL,FW,3.0,3.0,0.0,100.0,1.0
Thierry Henry,2006-2007,28.0,fr FRA,Arsenal,EPL,FW,3.0,3.0,0.0,100.0,1.0
Thierry Henry,2005-2006,27.0,fr FRA,Arsenal,EPL,FW,3.0,3.0,0.0,100.0,1.0
Teemu Pukki,2021-2022,31.0,fi FIN,Norwich City,EPL,FW,3.0,3.0,0.0,100.0,1.0
Teddy Sheringham,2001-2002,35.0,eng ENG,Tottenham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Teddy Sheringham,2002-2003,36.0,eng ENG,Tottenham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Steven Gerrard,2007-2008,27.0,eng ENG,Liverpool,EPL,MF,3.0,3.0,0.0,100.0,1.0
Stephen Hunt,2011-2012,29.0,ie IRL,Wolves,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Steed Malbranque,2002-2003,22.0,fr FRA,Fulham,EPL,MF,3.0,3.0,0.0,100.0,1.0
Sergio Agüero,2011-2012,23.0,ar ARG,Manchester City,EPL,FW,3.0,3.0,0.0,100.0,1.0
Ruud van Nistelrooy,2004-2005,28.0,nl NED,Manchester Utd,EPL,FW,3.0,3.0,0.0,100.0,1.0
Robbie Keane,2003-2004,23.0,ie IRL,Tottenham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Robbie Fowler,2006-2007,31.0,eng ENG,Liverpool,EPL,FW,3.0,3.0,0.0,100.0,1.0
Rickie Lambert,2013-2014,31.0,eng ENG,Southampton,EPL,FW,3.0,3.0,0.0,100.0,1.0
Rickie Lambert,2012-2013,30.0,eng ENG,Southampton,EPL,FW,3.0,3.0,0.0,100.0,1.0
Richarlison,2021-2022,24.0,br BRA,Everton,EPL,FW,3.0,3.0,0.0,100.0,1.0
Rúben Neves,2020-2021,23.0,pt POR,Wolves,EPL,MF,3.0,3.0,0.0,100.0,1.0
Rúben Neves,2022-2023,25.0,pt POR,Wolves,EPL,MF,3.0,3.0,0.0,100.0,1.0
Raúl Jiménez,2024-2025,33.0,mx MEX,Fulham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Peter Ndlovu,1994-1995,21.0,zw ZIM,Coventry City,EPL,FW,3.0,3.0,0.0,100.0,1.0
Paolo Di Canio,2000-2001,32.0,it ITA,West Ham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Paolo Di Canio,2002-2003,34.0,it ITA,West Ham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Muzzy Izzet,1999-2000,24.0,tr TUR,Leicester City,EPL,MF,3.0,3.0,0.0,100.0,1.0
Mohamed Salah,2018-2019,26.0,eg EGY,Liverpool,EPL,FW,3.0,3.0,0.0,100.0,1.0
Mohamed Salah,2019-2020,27.0,eg EGY,Liverpool,EPL,FW,3.0,3.0,0.0,100.0,1.0
Mile Jedinak,2014-2015,29.0,au AUS,Crystal Palace,EPL,MF,3.0,3.0,0.0,100.0,1.0
Matthew Taylor,2009-2010,27.0,eng ENG,Bolton,EPL,"DF,MF",3.0,3.0,0.0,100.0,1.0
Matt Le Tissier,1995-1996,26.0,eng ENG,Southampton,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Matt Le Tissier,1994-1995,25.0,eng ENG,Southampton,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Marko Arnautović,2015-2016,26.0,at AUT,Stoke City,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Mark Viduka,2002-2003,26.0,au AUS,Leeds United,EPL,FW,3.0,3.0,0.0,100.0,1.0
Mark Noble,2012-2013,25.0,eng ENG,West Ham,EPL,MF,3.0,3.0,0.0,100.0,1.0
Mark Noble,2019-2020,32.0,eng ENG,West Ham,EPL,MF,3.0,3.0,0.0,100.0,1.0
Mark Noble,2015-2016,28.0,eng ENG,West Ham,EPL,MF,3.0,3.0,0.0,100.0,1.0
Mario Balotelli,2011-2012,20.0,it ITA,Manchester City,EPL,FW,3.0,3.0,0.0,100.0,1.0
Manuel Lanzini,2021-2022,28.0,ar ARG,West Ham,EPL,"MF,FW",3.0,3.0,0.0,100.0,1.0
Leighton Baines,2013-2014,28.0,eng ENG,Everton,EPL,DF,3.0,3.0,0.0,100.0,1.0
Leighton Baines,2010-2011,25.0,eng ENG,Everton,EPL,DF,3.0,3.0,0.0,100.0,1.0
Leighton Baines,2011-2012,26.0,eng ENG,Everton,EPL,DF,3.0,3.0,0.0,100.0,1.0
Kevin Doyle,2006-2007,22.0,ie IRL,Reading,EPL,FW,3.0,3.0,0.0,100.0,1.0
Joshua King,2019-2020,27.0,no NOR,Bournemouth,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Jorginho,2019-2020,27.0,it ITA,Chelsea,EPL,MF,3.0,3.0,0.0,100.0,1.0
Jordi Gómez,2014-2015,29.0,es ESP,Sunderland,EPL,MF,3.0,3.0,0.0,100.0,1.0
John Wark,1994-1995,36.0,sct SCO,Ipswich Town,EPL,MF,3.0,3.0,0.0,100.0,1.0
João Pedro,2024-2025,22.0,br BRA,Brighton,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Jimmy Floyd Hasselbaink,2002-2003,30.0,nl NED,Chelsea,EPL,FW,3.0,3.0,0.0,100.0,1.0
Jimmy Floyd Hasselbaink,2001-2002,29.0,nl NED,Chelsea,EPL,FW,3.0,3.0,0.0,100.0,1.0
Jermain Defoe,2006-2007,23.0,eng ENG,Tottenham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Jason Euell,2003-2004,26.0,jm JAM,Charlton Ath,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Jan Mølby,1992-1993,29.0,dk DEN,Liverpool,EPL,MF,3.0,3.0,0.0,100.0,1.0
James Milner,2018-2019,32.0,eng ENG,Liverpool,EPL,"MF,DF",3.0,3.0,0.0,100.0,1.0
Heiðar Helguson,2005-2006,27.0,is ISL,Fulham,EPL,FW,3.0,3.0,0.0,100.0,1.0
Gylfi Sigurðsson,2015-2016,25.0,is ISL,Swansea City,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Gylfi Sigurðsson,2016-2017,26.0,is ISL,Swansea City,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Gary McSheffrey,2007-2008,24.0,eng ENG,Birmingham City,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Gary McAllister,1996-1997,31.0,sct SCO,Coventry City,EPL,MF,3.0,3.0,0.0,100.0,1.0
Garry Parker,1997-1998,31.0,eng ENG,Leicester City,EPL,MF,3.0,3.0,0.0,100.0,1.0
Gareth Barry,2004-2005,23.0,eng ENG,Aston Villa,EPL,MF,3.0,3.0,0.0,100.0,1.0
Frank Leboeuf,1997-1998,29.0,fr FRA,Chelsea,EPL,DF,3.0,3.0,0.0,100.0,1.0
Frank Lampard,2004-2005,26.0,eng ENG,Chelsea,EPL,MF,3.0,3.0,0.0,100.0,1.0
Fabio Borini,2013-2014,22.0,it ITA,Sunderland,EPL,"FW,MF",3.0,3.0,0.0,100.0,1.0
Eric Cantona,1994-1995,28.0,fr FRA,Manchester Utd,EPL,FW,3.0,3.0,0.0,100.0,1.0
Emmanuel Adebayor,2007-2008,23.0,tg TOG,Arsenal,EPL,FW,3.0,3.0,0.0,100.0,1.0
Dennis Bergkamp,1996-1997,27.0,nl NED,Arsenal,EPL,FW,3.0,3.0,0.0,100.0,1.0
Dean Saunders,1993-1994,29.0,wls WAL,Aston Villa,EPL,FW,3.0,3.0,0.0,100.0,1.0
Darren Bent,2005-2006,21.0,eng ENG,Charlton Ath,EPL,FW,3.0,3.0,0.0,100.0,1.0
Darren Bent,2010-2011,26.0,eng ENG,2 Teams,EPL,FW,3.0,3.0,0.0,100.0,1.0
Darren Bent,2006-2007,22.0,eng ENG,Charlton Ath,EPL,FW,3.0,3.0,0.0,100.0,1.0
